WS.partner,source,Year,Location,Rep,Plot,Row,Col,Block,GID,Sowing.Date,Origin,Height,Awnedness,Accession_number,WinterSurvival_Visual,VinterSurvival_TPVP_Index,Lodging_T,HD_Date,Anthesis.Date,DTH,DTA,DTM,Anther.extrusion.anther.retention,FHB1,FHB2,FHB3,FHB4,FHB5,FHB6,FHB1Date,FHB2Date,FHB3Date,FHB4Date,FHB5Date,FHB6Date,DFHB1,DFHB2,DFHB3,DFHB4,DFHB5,DFHB6,DON,AUDPC,FHB0,DFHB0,DFHBmax,AUDPC_std
BOKU,Boku_FHB,2020,Tulln,1,1074,2,5,NA,TS002,2019-10-21,NA,110,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,3,NA,10,25,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,940,0,0,30,31.3
BOKU,Boku_FHB,2020,Tulln,1,1075,3,5,NA,TS191,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,8.57,0.5,5,15,30,90,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,714.5,0,0,30,23.8
BOKU,Boku_FHB,2020,Tulln,1,1076,4,5,NA,TS066,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-17,2020-05-22,209,214,NA,3.43,0.5,0.5,1,5,30,70,2020-06-01,2020-06-05,2020-06-09,2020-06-13,2020-06-17,2020-06-21,10,14,18,22,26,30,NA,288.5,0,0,30,9.6
BOKU,Boku_FHB,2020,Tulln,1,1077,5,5,NA,TS122,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-23,2020-05-28,215,220,NA,5.14,0.5,3,10,30,80,90,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,2020-06-27,10,14,18,22,26,30,NA,656.5,0,0,30,21.9
BOKU,Boku_FHB,2020,Tulln,1,1078,6,5,NA,TS216,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,4.29,NA,5,25,60,70,70,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,755,0,0,30,25.2
BOKU,Boku_FHB,2020,Tulln,1,1079,7,5,NA,TS206,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,6.86,NA,20,50,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,1080,0,0,30,36
BOKU,Boku_FHB,2020,Tulln,1,1080,8,5,NA,TS024,2019-10-21,NA,80,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,5.57,NA,15,30,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,995,0,0,30,33.2
BOKU,Boku_FHB,2020,Tulln,1,1081,9,5,NA,TS057,2019-10-21,NA,90,NA,NA,NA,NA,NA,2020-05-19,2020-05-24,211,216,NA,4.29,0,0.1,3,5,25,50,2020-06-03,2020-06-07,2020-06-11,2020-06-15,2020-06-19,2020-06-23,10,14,18,22,26,30,NA,226.4,0,0,30,7.5
BOKU,Boku_FHB,2020,Tulln,1,1082,10,5,NA,TS103,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-29,2020-06-03,221,226,NA,3.86,NA,20,50,80,80,80,NA,2020-06-17,2020-06-21,2020-06-25,2020-06-29,2020-07-03,NA,14,18,22,26,30,NA,1080,0,0,30,36
BOKU,Boku_FHB,2020,Tulln,1,1083,11,5,NA,TS033,2019-10-21,NA,85,NA,NA,NA,NA,NA,2020-05-17,2020-05-22,209,214,NA,0.86,0.1,0.5,0.5,5,30,70,2020-06-01,2020-06-05,2020-06-09,2020-06-13,2020-06-17,2020-06-21,10,14,18,22,26,30,NA,283.9,0,0,30,9.5
