Trait,Scheme,EID,n,rFm1,rFm2,rFm3
SA,16/12,Porvenir_2021,155,0.37369191208916763,0.4828373571771477,0.4152831749113478
SA,16/12,Taula_2018,155,0.3624015415586734,0.45092476315428753,0.44178735983085327
SA,16/12,Taula_2019,155,0.33734866542744973,0.5547594962466151,0.6672513189337377
SA,16/15,Balsora_2016,155,0.496871517608709,0.6623129949507773,0.6191960817852928
SA,16/15,Balsora_2017,155,0.43830584023530234,0.6032331185712339,0.5089458800948848
SA,16/15,Porvenir_2020,155,0.4175424902682047,0.5543480606120691,0.5029882217574332
SA,16/15,Porvenir_2021,155,0.37091671898108386,0.48832384556484626,0.40583833979261136
SA,16/15,Taula_2018,155,0.367533260035305,0.44094273661023,0.45716924976580403
SA,16/15,Taula_2019,155,0.3383780536437667,0.548201893239756,0.6716951559994716
SA,16/4,Balsora_2016,155,0.47628619215464413,0.6564524324499598,0.5748159235678971
SA,16/4,Balsora_2017,155,0.424436180366135,0.5983007383816425,0.5161364595715825
SA,16/4,Porvenir_2020,155,0.4122666219737925,0.5613861105283183,0.4870393574886038
SA,16/4,Porvenir_2021,155,0.34844199296618794,0.4729575197929206,0.371982048305515
SA,16/4,Taula_2018,155,0.3484690246427945,0.43287711795784134,0.44457771127815793
SA,16/4,Taula_2019,155,0.3294307433390938,0.5394914998800467,0.6646651877553938
SA,16/8,Balsora_2016,155,0.4890916157942027,0.6748073957645352,0.6197415057061503
SA,16/8,Balsora_2017,155,0.43628109634330764,0.6120384880689033,0.560709689574038
SA,16/8,Porvenir_2020,155,0.42475906694450444,0.5740264480803825,0.5387790732808573
SA,16/8,Porvenir_2021,155,0.35658629436470973,0.4814615041203349,0.43010668054179485
SA,16/8,Taula_2018,155,0.35447330217794903,0.44278265174467696,0.44175989751527484
SA,16/8,Taula_2019,155,0.3335640124405462,0.555483078511245,0.6504158533312828
SA,20/0,Balsora_2016,155,0.5455005490462339,0.7247015728525799,0.7097603101055091
SA,20/0,Balsora_2017,155,0.49285336616664005,0.642830840149679,0.6311613517894
SA,20/0,Porvenir_2020,155,0.41632145672188786,0.5748603819980544,0.5881730110012823
SA,20/0,Porvenir_2021,155,0.42736353301440205,0.5330167016702999,0.5184702779593103
