Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,12/12,Balsora_2017,155,1.7945877663057552,1.7641463917141833,1.7753683474740574
SA,12/12,Porvenir_2020,155,0.8732805289867995,0.8482772672772505,0.8632451306526698
SA,12/12,Porvenir_2021,155,1.1842306815475345,1.1697662400840976,1.1919152449201211
SA,12/12,Taula_2018,155,1.3804939645098815,1.3573644434565786,1.3533774067750983
SA,12/12,Taula_2019,155,1.1900168489355707,1.1564228396483742,1.1191263616891973
SA,12/16,Balsora_2016,155,1.7847512861547827,1.7436197328379626,1.755020210817656
SA,12/16,Balsora_2017,155,1.7855471162485492,1.7597057940200638,1.763303935948861
SA,12/16,Porvenir_2020,155,0.871634424273632,0.8444989047615739,0.8547222202141053
SA,12/16,Porvenir_2021,155,1.180176892647622,1.168489149873182,1.1688171132322587
SA,12/16,Taula_2018,155,1.3821740642545346,1.3561340310355394,1.3362900116494991
SA,12/16,Taula_2019,155,1.1839722341703751,1.1581189986194096,1.1099238924639443
SA,12/19,Balsora_2016,155,1.782780747332667,1.7505853196154053,1.7576454184140458
SA,12/19,Balsora_2017,155,1.785079923375812,1.7609726479796377,1.7859550730241631
SA,12/19,Porvenir_2020,155,0.8530015729340101,0.8276127839337837,0.8478705814994063
SA,12/19,Porvenir_2021,155,1.1645680536234624,1.1560799091041756,1.1719789400349492
SA,12/19,Taula_2018,155,1.378804674289896,1.360089963003729,1.345887284520755
SA,12/19,Taula_2019,155,1.1855884029253914,1.162245599985102,1.099792381009421
SA,12/4,Balsora_2016,155,1.7927421849364866,1.7218202433232261,1.7552189732801118
SA,12/4,Balsora_2017,155,1.8005215742018832,1.757396716928192,1.7692008841236602
SA,12/4,Porvenir_2020,155,0.9187256366254871,0.8758112962632184,0.851971586254328
SA,12/4,Porvenir_2021,155,1.173036833729716,1.1406911951566658,1.1499705374342402
SA,12/4,Taula_2018,155,1.392222377847029,1.3620163060659534,1.3450513024789261
SA,12/4,Taula_2019,155,1.198397548744948,1.1543469328915743,1.108959789496606
SA,12/8,Balsora_2016,155,1.7865983183983012,1.7486299860997443,1.7805761583821151
SA,12/8,Balsora_2017,155,1.8298401043388817,1.800672956493249,1.8047621821748057
SA,12/8,Porvenir_2020,155,0.8672703964435832,0.8349816732626787,0.8507327637496713
SA,12/8,Porvenir_2021,155,1.1897936713185464,1.1773478806190587,1.2114039863534984
SA,12/8,Taula_2018,155,1.3788935663445465,1.3625447746708903,1.3493474409678714
SA,12/8,Taula_2019,155,1.1961934431950259,1.1662026782421913,1.1117812684150956
SA,16/0,Balsora_2016,155,1.68069514342709,1.5240032272991515,1.687696500756303
SA,16/0,Balsora_2017,155,1.705569181375891,1.5671159301311137,1.6935865647830264
SA,16/0,Porvenir_2020,155,0.9392277844608381,0.8668983099493001,0.8312950195045227
SA,16/0,Porvenir_2021,155,1.175032549375797,1.1041665016290036,1.1437026848525043
SA,16/0,Taula_2018,155,1.3497585925990623,1.2897595384355798,1.2890330824977903
SA,16/0,Taula_2019,155,1.2343297578526131,1.0698762249574392,0.9673219218814025
SA,16/12,Balsora_2016,155,1.7099562792025207,1.5889113659639806,1.6788726505045095
SA,16/12,Balsora_2017,155,1.7253477620382989,1.6205604450264923,1.698493230952863
SA,16/12,Porvenir_2020,155,0.8151145390178597,0.7420197152606544,0.783263827251616
SA,16/12,Porvenir_2021,155,1.1744109902237068,1.1169883131069691,1.1483529080503057
SA,16/12,Taula_2018,155,1.328182165554504,1.2758971564319952,1.2905870546045786
SA,16/12,Taula_2019,155,1.1098127048517916,1.0036949546951883,0.9513432366719191
SA,16/15,Balsora_2016,155,1.7089444383383954,1.591924804955633,1.6507925897519187
SA,16/15,Balsora_2017,155,1.7254760754862535,1.6180635956001115,1.7040686789293482
SA,16/15,Porvenir_2020,155,0.8185709393677227,0.7441675619806086,0.7795870146205105
SA,16/15,Porvenir_2021,155,1.1353517262735717,1.0706892801066372,1.1235930583970744
SA,16/15,Taula_2018,155,1.3266618690671732,1.2823011271140783,1.2797950798419069
SA,16/15,Taula_2019,155,1.0953787235417956,0.998955399201628,0.9224736464694868
SA,16/4,Balsora_2016,155,1.708704327888417,1.5822921012348894,1.7025744600880883
SA,16/4,Balsora_2017,155,1.7985661398434523,1.6753520389126044,1.7588201992908379
SA,16/4,Porvenir_2020,155,0.8620461477174668,0.7966449923420308,0.828164131887622
SA,16/4,Porvenir_2021,155,1.181707078237278,1.1190204892703093,1.1609816482178787
SA,16/4,Taula_2018,155,1.3365800947511206,1.2859905079428708,1.3094500578965906
SA,16/4,Taula_2019,155,1.1675143386156308,1.0461058865646204,0.9932465271468064
SA,16/8,Balsora_2016,155,1.709293936205557,1.5721967631080778,1.6414814364259114
SA,16/8,Balsora_2017,155,1.7427035044603012,1.6198635160069705,1.667524812630399
SA,16/8,Porvenir_2020,155,0.8697890490370281,0.7948181257049579,0.8172069999663406
SA,16/8,Porvenir_2021,155,1.163971889394706,1.1083724439496139,1.138703120780081
SA,16/8,Taula_2018,155,1.3301213279887851,1.2776391371919695,1.2846858384384048
SA,16/8,Taula_2019,155,1.1246216831447224,1.0010694670752924,0.9454231046891395
SA,20/0,Balsora_2016,155,1.6227268967130406,1.3813266157818973,1.5310086160882344
SA,20/0,Balsora_2017,155,1.67281160946313,1.4939235361580288,1.5828182661970933
SA,20/0,Porvenir_2020,155,0.85187427014649,0.8080748781920861,0.6916530584996842
SA,20/0,Porvenir_2021,155,1.2138517469901278,1.1579741860652162,1.1361134076549
SA,20/0,Taula_2018,155,1.376492973512102,1.3028933322222833,1.2748660643427643
SA,20/0,Taula_2019,155,1.1827481294975448,0.9418308008851124,0.9173121236742411
SA,20/11,Balsora_2016,155,1.6315107652219196,1.4483544443867318,1.537890900249242
SA,20/11,Balsora_2017,155,1.646830143336609,1.4926346771847028,1.6026872325338182
SA,20/11,Porvenir_2020,155,0.7702036081415327,0.7106734560967994,0.6903649886872266
SA,20/11,Porvenir_2021,155,1.1015797959616738,1.0344169796847786,1.08392106273895
SA,20/11,Taula_2018,155,1.3286792844019661,1.2710811204922619,1.2790040991392289
SA,20/11,Taula_2019,155,1.0227495864811915,0.89286088511839945,0.8648848502597148
SA,20/4,Balsora_2016,155,1.6334222799981777,1.426652802278978,1.51373984092882
SA,20/4,Balsora_2017,155,1.6646224746552225,1.4876913447400062,1.5469308374637758
SA,20/4,Porvenir_2020,155,0.7880725141028928,0.762512433134724,0.7113514341719785
SA,20/4,Porvenir_2021,155,1.1583366666320882,1.0969858196235676,1.1078872485303248
SA,20/4,Taula_2018,155,1.3304050401708665,1.2792289875311535,1.2651593023231054
