Env,GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
BOKU,TS144,-1138.3474016822875,-1.1040164717826428,26.403321035468252,-0.5288423230158514
BOKU,TS145,-643.1292020315304,1.1965179057731348,7.778892934467876,-5.0627064839572995
BOKU,TS146,-106.56247299071401,0.6122497334395121,13.143646429263754,0.02491267063669511
BOKU,TS147,-1956.618530999869,-0.3834018991692574,11.59796088829171,-2.8019264946051408
BOKU,TS148,-3450.861283287406,-1.0667193483895971,29.587380804674467,-15.887059277742082
BOKU,TS149,-1470.0465051764622,-1.5234626039964496,9.767963922728086,-4.352473737901164
BOKU,TS150,2467.2796169556677,0.24502193262469518,-23.75586263887817,10.1916498097562
BOKU,TS151,-2577.832081041299,-0.7315900035853247,21.662960774905514,-13.315713212290575
BOKU,TS152,5166.061932981014,0.45182404177216995,-38.441756595653715,19.09929837573145
BOKU,TS153,875.4157465109602,0.36316398406461303,-8.680579923413461,12.785201697890443
BOKU,TS154,2081.2237295135856,1.6045643971929167,-25.11239340447355,14.022727057865268
BOKU,TS155,-321.9320788439363,-0.703758456019159,2.8089981325902045,4.041110196765658
BOKU,TS156,1787.7410701261833,1.1085024319031618,-28.75476156111108,11.768644533647603
BOKU,TS157,-868.3314172700047,-0.009734309967143417,0.27565931901335716,0.8240234614095243
BOKU,TS158,2880.5875878799707,1.4275396799348528,-21.280941771983635,22.86930863132511
BOKU,TS159,1332.6312362421304,0.20283400763287318,-8.626673755905358,8.238212690186629
BOKU,TS160,3026.1322117391974,0.6353941214551924,-41.6731055782584,12.294414016203518
BOKU,TS161,7493.326844693162,1.744346547969144,-69.27621714104316,32.147510343689646
BOKU,TS162,-405.8700820086524,0.5015220181664972,-13.028791403979994,-2.6538988741995126
BOKU,TS163,3058.9970422014594,1.3442121184855296,-27.543227713467786,18.977354806898802
BOKU,TS164,3517.7237413506955,0.39111413753630586,-34.16472115388024,19.869703660599043
BOKU,TS165,786.8768434170634,0.18365448288932384,-17.42382620970602,11.555473955395428
BOKU,TS166,-4605.8083854028955,-1.4272948254706534,53.30568106507417,-22.71244949344691
BOKU,TS167,996.4970122268423,-0.14077987816449422,-9.884967192425393,5.843941469593119
BOKU,TS168,-4571.802553256974,0.04826327545106324,31.49975770318997,-21.406032393868372
BOKU,TS169,1343.772620801814,0.5147648613367437,-23.96732048020931,15.842890130330488
BOKU,TS170,3552.2306584492326,0.4385272326383074,-36.69969227127149,11.105608123427373
BOKU,TS171,1076.6416354225948,0.3470842776855534,-23.427990400901763,0.33660686928851646
BOKU,TS172,-3650.9361552409828,-0.4886201419551526,19.91000949058798,-22.402869561767147
BOKU,TS173,8441.111395806074,1.9719349248937306,-72.3434013085789,30.689015443334938
BOKU,TS174,3892.5819378662854,0.24283133423296022,-50.248039285012055,17.229208212833328
BOKU,TS175,-1503.9950337279588,0.18544959035943975,8.509612253168598,-9.70369891971859
BOKU,TS176,2210.562575700693,0.2850486096874647,-27.85239596592146,17.287361164664617
BOKU,TS177,123.99455996695906,-1.0546712217465029,0.7129795520449989,-4.766446532863483
BOKU,TS178,-4067.227956743911,-0.22742606686801992,27.448437709157588,-24.395615265944798
BOKU,TS179,1243.2855339543894,0.9503523700589085,-22.744292305025738,9.988753217403428
BOKU,TS180,2310.0642182389274,0.32189509635713875,-13.258437548938673,15.196788507979363
BOKU,TS181,1765.2547155329958,-0.2563506942710774,-24.993139972357312,14.014919364355592
BOKU,TS182,-8.475678715854883,-0.9150842611654753,-10.949658918165369,-1.601979326820583
BOKU,TS183,61.46442186366767,0.15941648711191192,-9.544986787775997,0.3627364461499383
BOKU,TS184,-239.13818610738963,0.6731944458481394,-7.2763182973722,-0.5402401835526689
