GID,trait.AUDPC,trait.Angle,trait.GDD50,trait.FHB_1
TS029,1.964425431548534,0.7117327752458307,-269.0409280140823,2.699221580488569
TS030,743.3377933233601,0.5470353857287891,-111.95227580221945,5.68900548988708
TS031,-3569.8747755097534,-0.847017936388985,318.8125103253399,-18.60747279711798
TS032,-3712.4904226348613,-1.9484141156598143,-112.11544631541778,-20.698213754995884
TS033,-2251.8152976063466,-0.3679098562018497,152.7207682111598,-11.4431367428517
TS034,-3734.376271626729,-1.6979931554139607,305.24205615883466,-14.265703461447835
TS035,-3210.320813357405,-1.2000133499969672,832.7574827935605,-12.365764475066321
TS036,-1209.620746972657,-1.0009743297895042,184.4406972590716,-5.136523403322748
TS037,-2804.157215366494,-1.0512680735420568,390.84453024834625,-12.389480575363997
TS038,-6.6580695196039414,0.08686111509286332,31.506545194550085,3.6760056076278715
TS039,463.8984975630424,1.1397493315277156,-162.1331737457059,7.7754183948288045
TS040,-3299.8623169442717,-0.8613005941338354,315.09303420821607,-15.197722963664292
TS041,-1561.8990216825043,0.057299895567625825,371.2648565506788,-1.1104643577113578
TS042,-3130.8191039563526,-1.3784972453443767,264.98442812679014,-17.358102922831456
TS043,-2613.188023506193,-0.41077628734004934,246.61032580330607,-8.77255999920595
TS044,-2947.1695852640155,-1.2651180727007045,240.43915640770547,-16.009467419854918
TS045,-3997.517837400859,-1.1280748713521291,257.50463271936655,-20.660962826639583
TS046,-3521.151514585831,-1.8943358065877063,470.33280749433266,-18.400836386519423
TS047,-5377.150922795841,-2.6071077513560716,617.5790974155561,-29.246374840503886
TS048,-2787.8296192271337,-0.8261347912563932,420.9306475950182,-17.533178112435643
TS049,-4224.334902378279,-2.2359652356737945,1045.485005385422,-20.377055867447464
TS050,-4111.480895106117,-0.7930869387023888,518.3096823819883,-25.09690381624135
TS051,-3721.2126694729805,-1.4083650372670178,72.75875974989958,-14.169691212873605
TS052,-1496.5131673539486,-0.5229457935827382,300.459561321004,-7.67394571452666
TS053,-1890.97456287318,-0.6901093607640358,35.457594613662764,-7.955261907461539
TS054,-2471.7296702448875,-1.2458543203215726,356.73642556241975,-7.96676141292277
TS055,-4734.4686460929715,-2.3717076419564913,1040.3025766434657,-25.422118453236376
TS056,-1958.9919967493202,-1.2127262371015926,506.18461898799933,-11.893424317726204
TS057,-4195.1083489073135,-1.839141119041047,213.3475432322432,-17.727982143797888
TS058,-3703.9333298100632,-1.3573379581245106,520.1426307356076,-20.39787024728855
TS059,-956.2084072089142,-0.7223905840807556,-180.92807680617716,-0.9162629439945391
TS060,-3481.0200650984284,-1.9987841636903039,134.32893299095758,-15.474615382100449
TS061,-2431.40707881096,-0.7146697377018866,345.8005928689713,-12.373269507084215
TS062,-3588.1772968193523,-1.4854993736550512,426.0250697715742,-15.296873309432115
TS063,2379.847762955688,0.9211259485070178,-143.6494069477028,17.12115281051477
TS064,132.65083048518727,0.5284922765416744,-82.81656959293787,10.46461000031498
TS065,-1337.6813541247427,0.14253347301469366,-68.70512914559515,-5.888765797567045
TS066,-2977.4381834671954,-0.7736974897432651,128.35650958636506,-14.77255999920595
TS067,-1468.5117766667988,-0.11524513377413581,21.244527140614537,-2.440576254220705
TS068,1345.2008930313464,0.511519437050572,46.797328836505585,9.218711614560032
TS069,-1569.402517853063,-0.26987377827095704,147.57325792556526,-8.308850176722073
