h2,Year,Rep,GID,Obs,GDD,Value,GDD0
1,2020,1,TS005,n5,1542.3781702549995,0.8741424218351007,317.0479166599998
1,2020,1,TS005,n6,1607.7604619149995,0.983843586202628,382.4302083199998
1,2020,1,TS006,n0,1215.2187952649997,0.002287935914497027,0
1,2020,1,TS006,n1,1324.0708785949998,0.02931424312252777,108.85208333000014
1,2020,1,TS006,n2,1378.346920255,0.09845246254105793,163.1281249900003
1,2020,1,TS006,n3,1428.1375452549998,0.2620435026890024,212.91874999000015
1,2020,1,TS006,n4,1471.9396285949997,0.5004917125577497,256.72083333
1,2020,1,TS006,n5,1525.4792119249996,0.7807283725173262,310.2604166599999
1,2020,1,TS006,n6,1590.7417119149995,0.9435073031243217,375.52291664999984
1,2020,1,TS007,n0,1215.2187952649997,6.867461664405046e-4,0
1,2020,1,TS007,n1,1324.0708785949998,0.04573357461091037,108.85208333000014
1,2020,1,TS007,n2,1378.346920255,0.2846350046116546,163.1281249900003
1,2020,1,TS007,n3,1428.1375452549998,0.7349781306516447,212.91874999000015
1,2020,1,TS007,n4,1471.9396285949997,0.938665427767265,256.72083333
1,2020,1,TS007,n5,1525.4792119249996,0.9919653266709769,310.2604166599999
1,2020,1,TS007,n6,1590.7417119149995,0.9993647585525585,375.52291664999984
1,2020,1,TS008,n0,1210.6031702649996,0.009897614367438764,0
1,2020,1,TS008,n1,1314.7021285949995,0.14329156548965627,104.09895832999996
1,2020,1,TS008,n2,1366.472961925,0.40441365310997557,155.86979166000037
1,2020,1,TS008,n3,1415.6583785849998,0.7199127945929004,205.05520832000025
1,2020,1,TS008,n4,1458.1062952649995,0.8902038397931132,247.50312499999995
1,2020,1,TS008,n5,1510.2677535949997,0.9708156700112849,299.66458333000014
1,2020,1,TS008,n6,1575.3604619149996,0.9948630796924863,364.75729165000007
1,2020,1,TS009,n0,1210.6031702649996,0.0062438757717069105,0
1,2020,1,TS009,n1,1314.7021285949995,0.02870590441585561,104.09895832999996
1,2020,1,TS009,n2,1366.472961925,0.06000261695237867,155.86979166000037
1,2020,1,TS009,n3,1415.6583785849998,0.11712863306746474,205.05520832000025
1,2020,1,TS009,n4,1458.1062952649995,0.19964127029967438,247.50312499999995
1,2020,1,TS009,n5,1510.2677535949997,0.35144576409488376,299.66458333000014
1,2020,1,TS009,n6,1575.3604619149996,0.5879498101921404,364.75729165000007
1,2020,1,TS010,n0,1225.3302535949997,0.01465839228570351,0
1,2020,1,TS010,n1,1335.5604619249998,0.1453375130463564,110.2302083300001
1,2020,1,TS010,n2,1389.444836925,0.3587747611668197,164.1145833300002
1,2020,1,TS010,n3,1439.8729619249998,0.6303888367146615,214.5427083300001
1,2020,1,TS010,n4,1486.8021285949997,0.8279434963705953,261.47187499999995
1,2020,1,TS010,n5,1542.3781702549995,0.9426473621411042,317.0479166599998
1,2020,1,TS010,n6,1607.7604619149995,0.9858608033278071,382.4302083199998
1,2020,1,TS011,n0,1210.6031702649996,2.9464027734492193e-8,0
1,2020,1,TS011,n1,1314.7021285949995,2.255211180628469e-6,104.09895832999996
1,2020,1,TS011,n2,1366.472961925,1.9502265286568104e-5,155.86979166000037
1,2020,1,TS011,n3,1415.6583785849998,1.5140645486639903e-4,205.05520832000025
