Trial,Trait,Rep,Model,Value
2021.Tulln,AUDPC,3,m3,0.345789311359208
2021.Tulln,AUDPC,4,m0,0.6067185074574538
2021.Tulln,AUDPC,4,m1,0.39882799057247986
2021.Tulln,AUDPC,4,m2,0.5929998688011783
2021.Tulln,AUDPC,4,m3,0.3714732151066945
2021.Tulln,AUDPC,5,m0,0.6341431064032693
2021.Tulln,AUDPC,5,m1,0.4306235433550779
2021.Tulln,AUDPC,5,m2,0.6123833935267897
2021.Tulln,AUDPC,5,m3,0.398454068420276
2021.Tulln,AUDPC,6,m0,0.6025678559866703
2021.Tulln,AUDPC,6,m1,0.3934564538456643
2021.Tulln,AUDPC,6,m2,0.5821356275245886
2021.Tulln,AUDPC,6,m3,0.3578478119280535
2021.Tulln,AUDPC,7,m0,0.6115692429339413
2021.Tulln,AUDPC,7,m1,0.3886464512385064
2021.Tulln,AUDPC,7,m2,0.5872224445075972
2021.Tulln,AUDPC,7,m3,0.35168448294207455
2021.Tulln,AUDPC,8,m0,0.6327741587958158
2021.Tulln,AUDPC,8,m1,0.43973596659133707
2021.Tulln,AUDPC,8,m2,0.6134406875919494
2021.Tulln,AUDPC,8,m3,0.4061466966547401
2021.Tulln,AUDPC,9,m0,0.5829234047945951
2021.Tulln,AUDPC,9,m1,0.39933241932017105
2021.Tulln,AUDPC,9,m2,0.5633739857126818
2021.Tulln,AUDPC,9,m3,0.36621776685583357
2021.Tulln,AUDPC,10,m0,0.6067084938816137
2021.Tulln,AUDPC,10,m1,0.406987289444432
2021.Tulln,AUDPC,10,m2,0.5859247692882605
2021.Tulln,AUDPC,10,m3,0.3694177783514673
2021.Tulln,Angle,1,m0,0.4292798467734482
2021.Tulln,Angle,1,m1,0.43447108887242725
2021.Tulln,Angle,1,m2,0.422703958616218
2021.Tulln,Angle,1,m3,0.42654971786421214
2021.Tulln,Angle,2,m0,0.4323630888704633
2021.Tulln,Angle,2,m1,0.4366697895271835
2021.Tulln,Angle,2,m2,0.42260592845004213
2021.Tulln,Angle,2,m3,0.4252462171293076
2021.Tulln,Angle,3,m0,0.454763138580152
2021.Tulln,Angle,3,m1,0.4541164118208224
2021.Tulln,Angle,3,m2,0.4482257893062327
2021.Tulln,Angle,3,m3,0.4466558870737362
2021.Tulln,Angle,4,m0,0.39389593500617004
2021.Tulln,Angle,4,m1,0.3969263482159481
2021.Tulln,Angle,4,m2,0.39284942082896335
2021.Tulln,Angle,4,m3,0.3944920740382199
2021.Tulln,Angle,5,m0,0.45787469232354766
2021.Tulln,Angle,5,m1,0.45787332992763347
2021.Tulln,Angle,5,m2,0.4556543598628636
2021.Tulln,Angle,5,m3,0.455664840501658
2021.Tulln,Angle,6,m0,0.3778188241085629
2021.Tulln,Angle,6,m1,0.37921192465361836
2021.Tulln,Angle,6,m2,0.36943636928514245
2021.Tulln,Angle,6,m3,0.37030419609308385
2021.Tulln,Angle,7,m0,0.4322344001513905
2021.Tulln,Angle,7,m1,0.4324883832172098
2021.Tulln,Angle,7,m2,0.42314820346559084
2021.Tulln,Angle,7,m3,0.42245099302996963
2021.Tulln,Angle,8,m0,0.453611469767309
2021.Tulln,Angle,8,m1,0.45160914035625366
2021.Tulln,Angle,8,m2,0.4465906819723948
2021.Tulln,Angle,8,m3,0.44350972383793924
2021.Tulln,Angle,9,m0,0.4163607461400167
2021.Tulln,Angle,9,m1,0.4211389490629199
2021.Tulln,Angle,9,m2,0.4065921247789791
2021.Tulln,Angle,9,m3,0.410009936414028
2021.Tulln,Angle,10,m0,0.4712978302598942
2021.Tulln,Angle,10,m1,0.47044732620747837
2021.Tulln,Angle,10,m2,0.46801550947225296
2021.Tulln,Angle,10,m3,0.4655284633616758
2021.Tulln,GDD50,1,m0,0.5242500643170507
2021.Tulln,GDD50,1,m1,0.4037188087963878
2021.Tulln,GDD50,1,m2,0.5000235507394916
2021.Tulln,GDD50,1,m3,0.36654378311728475
2021.Tulln,GDD50,2,m0,0.5192775142951769
2021.Tulln,GDD50,2,m1,0.40234688080812814
2021.Tulln,GDD50,2,m2,0.496106229805126
2021.Tulln,GDD50,2,m3,0.3670763803491555
2021.Tulln,GDD50,3,m0,0.4829301358805745
2021.Tulln,GDD50,3,m1,0.34245120892749364
2021.Tulln,GDD50,3,m2,0.46581351529560144
2021.Tulln,GDD50,3,m3,0.3154208708430294
2021.Tulln,GDD50,4,m0,0.5128447899949612
2021.Tulln,GDD50,4,m1,0.3592193309591437
2021.Tulln,GDD50,4,m2,0.5003629053940722
2021.Tulln,GDD50,4,m3,0.33617780292086236
2021.Tulln,GDD50,5,m0,0.549448281289187
2021.Tulln,GDD50,5,m1,0.40554378043976497
2021.Tulln,GDD50,5,m2,0.5284437954066273
2021.Tulln,GDD50,5,m3,0.3745170936651331
2021.Tulln,GDD50,6,m0,0.5138951037963886
2021.Tulln,GDD50,6,m1,0.36749347779759595
2021.Tulln,GDD50,6,m2,0.49610346795162097
2021.Tulln,GDD50,6,m3,0.3368408873768227
2021.Tulln,GDD50,7,m0,0.5298062754666316
2021.Tulln,GDD50,7,m1,0.37062686987122806
2021.Tulln,GDD50,7,m2,0.5075061354303481
2021.Tulln,GDD50,7,m3,0.337169870478907
2021.Tulln,GDD50,8,m0,0.5536538975021627
2021.Tulln,GDD50,8,m1,0.41935324664255874
2021.Tulln,GDD50,8,m2,0.5339484055589143
2021.Tulln,GDD50,8,m3,0.38716719225036395
2021.Tulln,GDD50,9,m0,0.49661026535049313
2021.Tulln,GDD50,9,m1,0.36685509773302943
2021.Tulln,GDD50,9,m2,0.4773432764617463
2021.Tulln,GDD50,9,m3,0.33539669992204163
2021.Tulln,GDD50,10,m0,0.5165864311102761
2021.Tulln,GDD50,10,m1,0.37094976877535146
2021.Tulln,GDD50,10,m2,0.4944546878404435
2021.Tulln,GDD50,10,m3,0.33470901075205717
2021.Tulln,FHB_1,1,m0,0.5628476470063334
2021.Tulln,FHB_1,1,m1,0.5110633963843473
2021.Tulln,FHB_1,1,m2,0.5366850068812355
2021.Tulln,FHB_1,1,m3,0.4780465450440498
2021.Tulln,FHB_1,2,m0,0.5721646069706073
2021.Tulln,FHB_1,2,m1,0.5272257894183452
2021.Tulln,FHB_1,2,m2,0.5429402416062568
2021.Tulln,FHB_1,2,m3,0.49082648848224153
2021.Tulln,FHB_1,3,m0,0.5356352815958897
2021.Tulln,FHB_1,3,m1,0.47423043237865053
2021.Tulln,FHB_1,3,m2,0.5122211426897391
2021.Tulln,FHB_1,3,m3,0.4456324179918558
2021.Tulln,FHB_1,4,m0,0.5378013257007049
2021.Tulln,FHB_1,4,m1,0.47156527656052444
2021.Tulln,FHB_1,4,m2,0.5188087551670062
2021.Tulln,FHB_1,4,m3,0.4467304722036262
2021.Tulln,FHB_1,5,m0,0.5649606797428407
2021.Tulln,FHB_1,5,m1,0.49812342870862725
2021.Tulln,FHB_1,5,m2,0.5395369838084885
2021.Tulln,FHB_1,5,m3,0.467105187038355
2021.Tulln,FHB_1,6,m0,0.5454109790378614
2021.Tulln,FHB_1,6,m1,0.47716137160324085
2021.Tulln,FHB_1,6,m2,0.5193695917254756
2021.Tulln,FHB_1,6,m3,0.4425300362518584
2021.Tulln,FHB_1,7,m0,0.5776099066005512
2021.Tulln,FHB_1,7,m1,0.5004304728383715
2021.Tulln,FHB_1,7,m2,0.5506687628940155
2021.Tulln,FHB_1,7,m3,0.4655807732811328
2021.Tulln,FHB_1,8,m0,0.5794798660670691
2021.Tulln,FHB_1,8,m1,0.5226101828743434
2021.Tulln,FHB_1,8,m2,0.5545500162376718
2021.Tulln,FHB_1,8,m3,0.4880139627096882
2021.Tulln,FHB_1,9,m0,0.5412375975309067
2021.Tulln,FHB_1,9,m1,0.48065424600901135
2021.Tulln,FHB_1,9,m2,0.5148843777245902
2021.Tulln,FHB_1,9,m3,0.4460698446896653
2021.Tulln,FHB_1,10,m0,0.5882340091508095
2021.Tulln,FHB_1,10,m1,0.5272458118167422
2021.Tulln,FHB_1,10,m2,0.5624805987805555
2021.Tulln,FHB_1,10,m3,0.49146453131125045
2020.Feldkirchen,AUDPC,1,m0,0.26909359637006236
2020.Feldkirchen,AUDPC,1,m1,0.2679567275055104
2020.Feldkirchen,AUDPC,1,m2,0.2774221333900528
2020.Feldkirchen,AUDPC,1,m3,0.2718378506667117
2020.Feldkirchen,AUDPC,2,m0,0.3408734567782927
2020.Feldkirchen,AUDPC,2,m1,0.34116487616391106
2020.Feldkirchen,AUDPC,2,m2,0.34395068805357637
2020.Feldkirchen,AUDPC,2,m3,0.3401376063336577
2020.Feldkirchen,AUDPC,3,m0,0.34356057437360177
2020.Feldkirchen,AUDPC,3,m1,0.3402403030621929
2020.Feldkirchen,AUDPC,3,m2,0.35095284123726384
2020.Feldkirchen,AUDPC,3,m3,0.34318491763893155
2020.Feldkirchen,AUDPC,4,m0,0.32350887771604786
2020.Feldkirchen,AUDPC,4,m1,0.31889220948186325
2020.Feldkirchen,AUDPC,4,m2,0.3261219437185422
2020.Feldkirchen,AUDPC,4,m3,0.31778925525772905
2020.Feldkirchen,AUDPC,5,m0,0.3315644364296213
2020.Feldkirchen,AUDPC,5,m1,0.33288964301205504
2020.Feldkirchen,AUDPC,5,m2,0.33659885582734195
2020.Feldkirchen,AUDPC,5,m3,0.33457670397371364
2020.Feldkirchen,AUDPC,6,m0,0.4063488989921065
2020.Feldkirchen,AUDPC,6,m1,0.4062175405979373
2020.Feldkirchen,AUDPC,6,m2,0.40915320156297663
2020.Feldkirchen,AUDPC,6,m3,0.40561045994486816
2020.Feldkirchen,AUDPC,7,m0,0.3936892875279413
2020.Feldkirchen,AUDPC,7,m1,0.39100219018295457
2020.Feldkirchen,AUDPC,7,m2,0.40138412745016233
2020.Feldkirchen,AUDPC,7,m3,0.393251335743337
2020.Feldkirchen,AUDPC,8,m0,0.36252450226888483
2020.Feldkirchen,AUDPC,8,m1,0.3556837015738282
2020.Feldkirchen,AUDPC,8,m2,0.3691619559290393
2020.Feldkirchen,AUDPC,8,m3,0.3600793081822813
2020.Feldkirchen,AUDPC,9,m0,0.36985248356015876
2020.Feldkirchen,AUDPC,9,m1,0.36509545215529426
2020.Feldkirchen,AUDPC,9,m2,0.37479017946624316
2020.Feldkirchen,AUDPC,9,m3,0.36641677910859877
2020.Feldkirchen,AUDPC,10,m0,0.41101574270787844
2020.Feldkirchen,AUDPC,10,m1,0.4046271128255273
2020.Feldkirchen,AUDPC,10,m2,0.41511037266045686
2020.Feldkirchen,AUDPC,10,m3,0.4052833528705522
2020.Feldkirchen,Angle,1,m0,0.5562046348128307
2020.Feldkirchen,Angle,1,m1,0.5153454484040463
2020.Feldkirchen,Angle,1,m2,0.5604470194275873
2020.Feldkirchen,Angle,1,m3,0.5181402717846076
2020.Feldkirchen,Angle,2,m0,0.5811660400556865
2020.Feldkirchen,Angle,2,m1,0.5549238969142496
2020.Feldkirchen,Angle,2,m2,0.5825293649453536
2020.Feldkirchen,Angle,2,m3,0.554370775397118
2020.Feldkirchen,Angle,3,m0,0.566620219442922
2020.Feldkirchen,Angle,3,m1,0.5285200261468928
2020.Feldkirchen,Angle,3,m2,0.5698081398989261
2020.Feldkirchen,Angle,3,m3,0.5302531030646297
2020.Feldkirchen,Angle,4,m0,0.5545322524452305
2020.Feldkirchen,Angle,4,m1,0.5150766452378478
2020.Feldkirchen,Angle,4,m2,0.5526743954026554
2020.Feldkirchen,Angle,4,m3,0.5120374404250755
2020.Feldkirchen,Angle,5,m0,0.5550671541200635
2020.Feldkirchen,Angle,5,m1,0.5208863917623233
2020.Feldkirchen,Angle,5,m2,0.5593652265647531
2020.Feldkirchen,Angle,5,m3,0.5250482358323063
2020.Feldkirchen,Angle,6,m0,0.5943018162290467
2020.Feldkirchen,Angle,6,m1,0.5569080515453471
2020.Feldkirchen,Angle,6,m2,0.5957055478799068
2020.Feldkirchen,Angle,6,m3,0.5573136238192868
2020.Feldkirchen,Angle,7,m0,0.5805668189710347
2020.Feldkirchen,Angle,7,m1,0.5415383327510119
2020.Feldkirchen,Angle,7,m2,0.5845436562330537
2020.Feldkirchen,Angle,7,m3,0.5430497493484334
2020.Feldkirchen,Angle,8,m0,0.5922981374922104
2020.Feldkirchen,Angle,8,m1,0.5703903819510681
2020.Feldkirchen,Angle,8,m2,0.5946377860518419
2020.Feldkirchen,Angle,8,m3,0.5737198468705644
2020.Feldkirchen,Angle,9,m0,0.5775004750160312
2020.Feldkirchen,Angle,9,m1,0.5457042480905255
2020.Feldkirchen,Angle,9,m2,0.5812570885058925
2020.Feldkirchen,Angle,9,m3,0.5474461391617593
2020.Feldkirchen,Angle,10,m0,0.5990021749841086
2020.Feldkirchen,Angle,10,m1,0.5642122943469434
2020.Feldkirchen,Angle,10,m2,0.6026712303368449
2020.Feldkirchen,Angle,10,m3,0.5646559808081113
2020.Feldkirchen,GDD50,1,m0,0.3546978570219285
2020.Feldkirchen,GDD50,1,m1,0.30962244753838225
2020.Feldkirchen,GDD50,1,m2,0.3593119418471105
2020.Feldkirchen,GDD50,1,m3,0.3098948638154394
2020.Feldkirchen,GDD50,2,m0,0.41188612822580223
2020.Feldkirchen,GDD50,2,m1,0.4019913448902988
2020.Feldkirchen,GDD50,2,m2,0.4165972628355795
2020.Feldkirchen,GDD50,2,m3,0.4020447612635242
2020.Feldkirchen,GDD50,3,m0,0.35934920622995786
2020.Feldkirchen,GDD50,3,m1,0.3237008075205582
2020.Feldkirchen,GDD50,3,m2,0.36810921946498637
2020.Feldkirchen,GDD50,3,m3,0.32571163425802324
2020.Feldkirchen,GDD50,4,m0,0.3582053979202684
2020.Feldkirchen,GDD50,4,m1,0.3304279017962803
2020.Feldkirchen,GDD50,4,m2,0.36088305583429264
2020.Feldkirchen,GDD50,4,m3,0.32502596370696696
2020.Feldkirchen,GDD50,5,m0,0.33426093617924213
2020.Feldkirchen,GDD50,5,m1,0.3032793825640457
2020.Feldkirchen,GDD50,5,m2,0.3450806432490939
2020.Feldkirchen,GDD50,5,m3,0.3094444052943263
2020.Feldkirchen,GDD50,6,m0,0.4515880857210178
2020.Feldkirchen,GDD50,6,m1,0.4211830138714621
2020.Feldkirchen,GDD50,6,m2,0.45466114858617196
2020.Feldkirchen,GDD50,6,m3,0.41899979469386556
2020.Feldkirchen,GDD50,7,m0,0.39623061252490915
2020.Feldkirchen,GDD50,7,m1,0.3668116240607833
2020.Feldkirchen,GDD50,7,m2,0.40457155634118286
