Geno,family,S_number,S_fresh,S_dry,B_weight,B_height,B_width,B_shape,H_cluster,H_rachis,P_cluster_weight,P_cluster_loss,P_rachis_weight,P_rachis_loss
G_5.4.25,411,1.6555555555556096,0.08282444444444768,0.04818888888889115,2.549644126834959,1.7457668739929484,1.5895779813726854,1.106623410232509,410.2703309770211,13.466187837315836,462.59817016428264,2.767627936965188,10.69252802600422,18.786740938424987
G_5.4.27,self,1.4444444444444655,0.01737777777778134,0.00653333333333472,1.5146557800922944,1.6359789009565535,1.3527741946582812,1.2285394169395798,631.0527986942922,11.826444279627736,485.0635536754655,3.708043148979217,9.924392825696213,24.670992625856616
G_5.4.3,411,2.2999999999999705,0.05218399999999652,0.01485799999999721,2.1121756553884694,1.7365020704770011,1.5121393842979698,1.1550288284277754,376.8337769260574,11.115320101234442,NA,NA,NA,NA
G_5.4.34,406,2.4333333333334206,0.15013888888889115,0.08692111111111137,0.45334560990069583,1.4760017560460157,1.2608483155110122,1.1801511386726702,333.4062561110841,9.008879694322156,494.1039499460136,3.4097866554631913,8.492208828946692,23.88487374647535
G_5.4.35,406,0.7000000000000525,0.00761142857142423,0.0029957142857124598,0.45193324523771583,1.159171416624524,1.1021248968609034,1.0874619139547566,129.3251456432315,7.759241655674904,NA,NA,NA,NA
G_5.4.36,self,0.03333333333328658,3.249999999939586e-4,7.333333333083827e-5,0.5304838742491076,1.1952714062721363,1.1089910622301258,1.09754718187761,208.09128963816545,7.226173982427323,NA,NA,NA,NA
G_5.4.41,406,1.9222222222222256,0.12321888888888162,0.07079111111110688,2.798056656505535,1.9245738940164447,1.546566197703629,1.231329910069748,696.6103849534425,15.58116363478096,NA,NA,NA,NA
G_5.4.42,406,0.2333333333332772,3.966666666674161e-4,1.016666666666336e-4,0.966986368238028,1.2993253991849725,1.2447422433260225,1.058142628670176,189.56739209461148,9.002296598534272,186.8354680417262,10.446369530327663,6.4791040232672445,44.24158630990735
G_5.4.44,406,2.5999999999999797,0.1244149999999944,0.07278374999999636,1.9959790353282416,1.7723619791959424,1.4558898342272977,1.2076601887776834,323.378492597059,10.123620810460851,436.54239995201726,3.3556304538991517,9.87085229239718,7.107117320880871
G_5.4.45,406,1.7888888888889936,0.03074111111111654,0.00876777777778019,2.750057270674896,1.9970250138875592,1.5475791660155678,1.2838357852487752,488.86847211317104,8.827796957512549,370.1231588226444,3.686541191232771,6.532793622841099,33.31194484485772
G_5.4.49,406,-1.0991207943789051e-13,-2.4320823133194835e-15,-1.2910679469957389e-15,0.15767040705740243,1.120437244323291,1.03547085306346,1.0945775981786825,184.21172609017017,5.922447940564437,NA,NA,NA,NA
G_5.4.5,self,0.03333333333337007,2.6888888888360225e-4,5.1111111108056734e-5,0.2874691993456002,1.06308315877593,1.039178472263676,1.0513501708482602,353.5787045952313,14.6348950505925,300.82573044994126,5.537605047571025,10.526752024939722,29.67373261796027
G_5.4.50,406,0.22222222222229823,7.911111111004853e-4,1.911111111061329e-4,1.873714623267436,1.659951443699183,1.4146326811336885,1.1918381518598191,468.07254626356274,13.757431039229594,364.2949609465426,3.714875734888543,11.249434691530352,17.093244259204955
