gid,S_number,S_fresh,S_dry,B_weight,B_height,B_width,B_shape,H_cluster,H_rachis,P_cluster_weight,P_cluster_loss,P_rachis_weight,P_rachis_loss
gidG_5.4.72,2.077777777777849,0.09657666666666805,0.05995666666666815,0.28153916073641927,1.5576756990092622,1.1226381355719024,1.3580850886944003,358.58321141803634,9.828249092193383,349.1671184965516,2.7253952997478903,7.5269805952818825,32.631974819183114
gidG_5.4.73,2.022222222222228,0.13009777777778364,0.07873111111111475,0.9051309745261928,1.6914320378733472,1.2644485358076216,1.32088980323081,386.2900636974334,12.952215785745954,379.22916070403073,3.6324254994351968,9.885191139244329,32.34303429373759
gidG_5.4.75,0.1888888888889675,0.0014033333333400531,3.100000000033588e-4,1.3498465859096054,1.6744238984533621,1.2644699549893368,1.318636214163353,275.98905907075357,10.675098276899321,243.70693422870187,4.185713523036966,7.663485182502676,39.199652656470775
gidG_5.4.78,2.2833333333333616,0.12419333333333102,0.06974833333333247,3.522355549110306,2.1114597335491356,1.5875731905276647,1.3099066884758488,813.3761699514611,20.54617890006783,446.302011656063,4.335453041042102,9.63540162470387,61.69093999865355
gidG_5.4.8,0.8200000000000323,0.012034000000006087,0.007084000000003637,1.9347715147132267,NA,NA,NA,410.29630361524875,9.084288227178142,NA,NA,NA,NA
gidG_5.4.80,0.12222222222226153,0.001254444444447913,2.844444444445545e-4,1.0235601652958566,1.361401609720347,1.2631214421226105,1.0664759975216345,297.61099027267323,9.810545230302122,314.8250940999951,3.7560039872963102,9.376077626243784,16.861112660635698
gidG_5.4.82,1.9000000000000459,0.1203283333333364,0.07632500000000286,0.46721733598442583,1.6249656366168104,1.1877297030344862,1.3394424392605422,273.8111749983734,10.868325803866782,383.6385488907305,3.2145428404191927,10.292473624361778,18.050532162357044
gidG_5.4.83,1.2666666666666768,0.008503333333328169,0.004064999999997955,2.0791062942327354,1.9000928078533519,1.3905310071361103,1.3649379999906421,315.27730627535595,8.96549203920768,NA,NA,NA,NA
gidG_5.4.85,0.5166666666666673,0.004293333333328513,0.001008333333331138,1.8723330512905467,1.7364463481485024,1.4083875417302874,1.2414373823418663,311.29458151520845,9.426655155251355,259.4939531358316,4.384485440478717,7.8593216298364466,25.923154366123054
gidG_5.4.86,0.02222222222226833,4.744444444483662e-4,1.1888888889096359e-4,0.7078261054960819,1.3081358972535897,1.1803996628508113,1.1213097485664612,402.12047683339017,8.337515134222032,360.9975261941695,5.391442600206018,7.038611936294082,25.739205528012793
gidG_5.4.9,2.628571428571442,0.23792571428571802,0.10701857142857381,1.4567374027841653,1.5858851161828953,1.417754461023442,1.1375305697134472,679.6403735545889,19.424286288667474,805.3847020825615,3.5723311525114347,17.453578690845966,20.150304131483836
gidG_5.4.92,0.8375000000000536,0.08061750000000516,0.042613750000003225,1.2985677779447375,1.5161978732008852,1.3076393622230402,1.17934178442627,162.0018362439962,8.018811481864553,NA,NA,NA,NA
gidG_5.4.94,0.39999999999998825,0.0347388888888928,0.02055666666666991,0.609809862343321,1.4059900120373454,1.2048146898047847,1.1583805689542623,389.1429424143859,13.218566475193615,386.98043872030007,6.919354914130549,9.183116827007895,30.302413600762456
gidG_5.4.96,1.277777777777838,0.015879999999999995,0.003698888888889462,1.71741834903159,1.9608458300705283,1.464094251426111,1.3372558590641217,593.0975167098796,11.36853685956298,481.06822244529025,3.2343880416319055,9.452741510975645,26.482800467935515
gidG_5.4.97,1.0500000000000163,0.012455000000000428,0.006033750000000412,1.8544611759233978,1.8858393211950872,1.370043806979656,1.3855655999892083,251.0688196597402,11.02840814376959,251.5123999520265,4.327419504069201,7.424185625730523,43.627497385834985
gidG_5.4.98,2.0857142857142987,0.10013142857143367,0.06252142857143153,3.1291630677427276,2.0291663387870336,1.6266209053658296,1.2376329550819953,574.0461512526563,14.117796306356407,486.2795800935114,3.706315594519082,9.646413892579684,37.86135337190461
gidG_5.4.99,0.10000000000001452,0.0028080000000029488,0.002434000000001615,2.4581794269102,1.954911428431845,1.5092747289649115,1.3151365704638465,263.93415323299627,6.891095383051534,NA,NA,NA,NA
gidG_5.5.100,1.388888888888915,0.014953333333335067,0.00435222222222315,1.3482948676616393,1.4160772545319786,1.3752981208707304,1.0437388575763518,311.06480312084085,11.443662107994076,283.4770132509616,5.192013441411519,8.047708025148832,37.94111781151523
gidG_5.5.101,1.6375000000000426,0.006353749999994616,0.0018037499999965802,2.109729316915212,1.7224304291752013,1.5022673973434577,1.1489730311651294,347.07379273311864,15.168851634824602,295.16272822022006,3.6066806951441888,10.049410768196651,37.5202737983742
gidG_5.5.104,1.233333333333386,0.1065333333333182,0.052442222222214126,1.4505929109547657,1.5240508577632657,1.4791537254357996,1.0532931175927265,290.0604758745881,13.200430578275723,432.3956990389303,3.6181122948562425,10.640160026395243,21.25381474615847
gidG_5.5.105,1.1374999999999555,0.0894475000000217,0.04285750000001188,2.226158970626495,1.5800056202758472,1.5372942406033578,1.045817330932956,360.40531898167427,17.22531351541951,NA,NA,NA,NA
gidG_5.5.107,2.1666666666667567,0.022782222222224084,0.006438888888890737,1.640167415769527,1.608155594926887,1.393635431174765,1.1631663832394947,288.1799900847197,9.036270005470438,NA,NA,NA,NA
