season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Espadeiro.Tinto,1,R3,160,18.8,0.05515000000000001
2018,jardin,G_Espadeiro.Tinto,2,R1,224,18,0.06791
2018,jardin,G_Espadeiro.Tinto,2,R2,228,18,0.053059999999999996
2018,jardin,G_Espadeiro.Tinto,2,R3,184,18,0.06337000000000001
2018,jardin,G_Espadeiro.Tinto,3,R1,293,19,0.0692
2018,jardin,G_Espadeiro.Tinto,3,R2,252,17,0.07359000000000002
2018,jardin,G_Espadeiro.Tinto,3,R3,310,20,0.052590000000000005
2018,jardin,G_Exotic,1,R1,783,17,0.11812
2018,jardin,G_Exotic,1,R2,532,16,0.10915000000000001
2018,jardin,G_Exotic,1,R3,506,14.8,0.11501000000000001
2018,jardin,G_Exotic,2,R1,548,16,0.10806999999999997
2018,jardin,G_Exotic,2,R2,418,15,0.07422
2018,jardin,G_Exotic,2,R3,500,17,0.07483999999999999
2018,jardin,G_Flame,3,R1,288,16.8,0.003470000000000001
2018,jardin,G_Flame,3,R2,330,16.2,0.004169999999999996
2018,jardin,G_Flame,3,R3,291,15.8,0.002939999999999998
2018,jardin,G_Flame,3,R4,349,15.8,0.004860000000000003
2018,jardin,G_Flame,2,R1,177,15.9,3.0000000000000024e-4
2018,jardin,G_Flame,2,R2,313,14,0.0030600000000000015
2018,jardin,G_Flame,1,R1,354,15.8,0.0031499999999999974
2018,jardin,G_Flame,1,R2,380,15.3,0.004149999999999998
2018,jardin,G_Fue.Fuki,1,R1,560,17,0.10419
2018,jardin,G_Fue.Fuki,1,R2,326,17,0.06563
2018,jardin,G_Fue.Fuki,1,R3,378,17.6,0.09735999999999999
2018,jardin,G_Iniagrape.one,1,R1,618,22.2,0.007250000000000001
2018,jardin,G_Iniagrape.one,1,R2,481,19.2,0.0020000000000000018
2018,jardin,G_Iniagrape.one,1,R3,687,19.8,0.0031899999999999984
2018,jardin,G_Iniagrape.one,2,R1,552,18,0.00423
2018,jardin,G_Iniagrape.one,2,R2,702,20.4,0.0063199999999999975
2018,jardin,G_Iniagrape.one,2,R3,811,20.2,0.005509999999999998
2018,jardin,G_Iniagrape.one,3,R1,860,16.2,0.011030000000000002
2018,jardin,G_Iniagrape.one,3,R2,821,15.6,0.0017000000000000014
2018,jardin,G_Iniagrape.one,3,R3,628,16.8,0.0050300000000000015
2018,jardin,G_Gros.Colman,1,R1,429,17,0.09512000000000001
2018,jardin,G_Gros.Colman,1,R2,246,16,0.08313999999999999
2018,jardin,G_Gros.Colman,1,R3,368,17,0.07266999999999998
2018,jardin,G_Ilusion,1,R1,685,19,0.043160000000000004
2018,jardin,G_Ilusion,1,R2,570,19,0.04521000000000001
2018,jardin,G_Ilusion,1,R3,387,17.8,0.044379999999999996
2018,jardin,G_Ilusion,2,R1,436,21.2,0.04127
2018,jardin,G_Ilusion,2,R2,314,19.8,0.03548
2018,jardin,G_Ilusion,2,R3,530,19,0.04785
2018,jardin,G_Ilusion,3,R1,771,16.2,0.03554
2018,jardin,G_Ilusion,3,R2,651,16,0.03978
2018,jardin,G_Ilusion,3,R3,392,15.4,0.028750000000000005
2018,jardin,G_Italia,2,R3,347,17.2,0.06119000000000001
2018,jardin,G_Italia,1,R1,602,19,0.09798000000000001
2018,jardin,G_Italia,1,R2,465,20.4,0.08004000000000001
2018,jardin,G_Italia,1,R3,418,18.2,0.057100000000000005
2018,jardin,G_Italia,2,R1,575,20,0.11899
2018,jardin,G_Italia,2,R2,455,14,0.07679
2018,jardin,G_Italia,3,R1,508,17,0.09042
2018,jardin,G_Italia,3,R2,509,20,0.08056999999999999
2018,jardin,G_Italia,3,R3,564,20,0.13695
