season,family,gid,plant,replicated,P_rachis_loss,soluble_solids,S_dry
2019,900,G_5.3.13,1,R1,61.875,19,0.00709
2019,900,G_5.3.13,1,R2,38.33333333333333,17,0.0113
2019,900,G_5.3.13,1,R3,50,17,0.00874
2019,900,G_5.2.3,1,R1,38,16,0
2019,900,G_5.2.3,1,R2,45.55555555555555,17,9.1e-4
2019,900,G_5.2.3,1,R3,60.833333333333336,16,0.00163
2019,912,G_5.3.121,1,R1,0,18,0
2019,912,G_5.3.121,1,R2,21.428571428571427,17,4.3e-4
2019,912,G_5.3.121,1,R3,0,17,0.0013
2019,406,G_5.1.142,1,R1,0,15,0.08314
2019,912,G_5.3.92,1,R1,0,20,0.00558
2019,912,G_5.3.92,1,R2,0,19,0.00329
2019,912,G_5.3.92,1,R3,33.333333333333336,21,0.00323
2019,900,G_5.2.5,1,R1,78,17,0.0079
2019,900,G_5.2.5,1,R2,2.500000000000002,16,0.00861
2019,900,G_5.2.4,1,R1,0,16,0.00315
2019,411,G_5.2.138,1,R1,45.45454545454545,15,0
2019,411,G_5.2.138,1,R2,20,15,0
2019,411,G_5.2.138,1,R3,39.99999999999999,18,0
2019,406,G_5.4.124,1,R1,0,18,0.00188
2019,912,G_5.3.45,1,R1,NA,NA,NA
2019,900,G_5.2.2,1,R1,38.888888888888886,17,0.00103
2019,900,G_5.2.2,1,R2,0,17,0.00117
2019,900,G_5.2.2,1,R3,16.36363636363637,16,0.00174
2019,406,G_5.4.115,1,R1,44.00000000000001,18,0.00745
2019,406,G_5.4.115,1,R2,48.18181818181818,18,0.00727
2019,406,G_5.4.115,1,R3,47.333333333333336,18,0.00798
2019,411,G_5.2.124,1,R1,43.84615384615385,16,0.0035
2019,411,G_5.2.124,1,R2,0,17,0.0029
2019,411,G_5.2.124,1,R3,11.66666666666667,16,0.00418
2019,406,G_5.4.118,1,R1,0,19,0.05983
2019,912,G_5.3.78,1,R1,58.333333333333336,17,0.00881
2019,912,G_5.3.78,1,R2,64.44444444444444,18,0.00756
2019,912,G_5.3.78,1,R3,47.5,17,0.01247
2019,411,G_5.2.154,1,R1,2.5,19,0.0131
2019,411,G_5.2.154,1,R2,44.545454545454554,19,0.01143
2019,411,G_5.2.154,1,R3,30,17,0.01475
2019,900,G_5.3.25,1,R1,65.55555555555556,18,0.03221
2019,900,G_5.3.25,1,R2,1.4285714285714235,18,0.03385
2019,411,G_5.4.12,1,R1,60,20,0.00683
2019,411,G_5.4.5,1,R1,77.03703703703704,16,0
2019,411,G_5.4.5,1,R2,0,18,0
2019,411,G_5.4.5,1,R3,40,18,4.6e-4
2019,406,G_5.4.85,1,R1,24.28571428571429,20,0.00217
2019,406,G_5.4.85,1,R2,21.66666666666666,22,6.1e-4
2019,406,G_5.1.163,1,R1,31.818181818181817,17,0.0645
2019,406,G_5.1.163,1,R2,15.45454545454545,17,0.05532
2019,406,G_5.1.163,1,R3,19.000000000000004,15,0.07904
2019,912,G_5.3.83,1,R1,43.529411764705884,18,0.00318
2019,912,G_5.3.83,1,R2,54.54545454545455,17,0.00723
2019,912,G_5.3.83,1,R3,74.28571428571429,16,0.01132
2019,406,G_5.4.119,1,R1,31.66666666666667,18,0.00136
2019,406,G_5.4.68,1,R1,0,17,0.00321
2019,411,G_5.2.134,1,R1,73.18181818181819,14,0.07235
2019,411,G_5.2.134,1,R2,31.538461538461533,18,0.01263
2019,411,G_5.2.134,1,R3,60.588235294117645,17,0.03468
2019,411,G_5.1.173,1,R1,39.285714285714285,19,0.06536
2019,411,G_5.1.173,1,R1,0,20,0.06536
2019,411,G_5.1.173,1,R2,14.999999999999998,19,0.10059
2019,411,G_5.1.173,1,R2,8.46153846153846,17,0.10059
2019,411,G_5.1.173,1,R3,33.333333333333336,17,0.10752
2019,411,G_5.1.173,1,R3,0,17,0.10752
2019,912,G_5.3.96,1,R1,6.666666666666669,20,0.03244
2019,912,G_5.3.96,1,R2,0,19,0.03521
2019,912,G_5.3.96,1,R3,0,17,0.04381
2019,406,G_5.1.130,1,R1,0,17,0.00326
2019,406,G_5.1.130,1,R2,25,18,0.00775
2019,406,G_5.1.130,1,R3,15.999999999999996,18,0.00643
2019,411,G_5.2.137,1,R1,81.6,19,0
2019,912,G_5.3.116,1,R1,37.5,20,0.00892
2019,912,G_5.3.116,1,R2,NA,NA,NA
2019,912,G_5.3.116,1,R3,NA,NA,NA
2019,411,G_5.1.167,1,R1,35.714285714285715,20,0.06385
2019,411,G_5.1.167,1,R1,50,14,0.06385
2019,411,G_5.1.167,1,R2,51.666666666666664,20,0.06319
2019,411,G_5.1.167,1,R2,73.63636363636364,15,0.06319
2019,411,G_5.1.167,1,R3,12.857142857142861,19,0.0466
2019,411,G_5.1.167,1,R3,56.42857142857143,13,0.0466
2019,411,G_5.4.2,1,R1,41.42857142857144,17,0.10709
2019,912,G_5.3.45,1,R1,NA,NA,NA
2019,912,G_5.3.45,1,R2,NA,NA,NA
2019,912,G_5.3.45,1,R3,NA,NA,NA
2019,406,G_5.7.157,1,R1,0,17,5.3e-4
2019,406,G_5.7.157,1,R2,0,17,6.7e-4
2019,111,G_5.7.77,1,R1,8.46153846153846,19,0.12481
2019,111,G_5.7.77,1,R2,36.25000000000001,22,0.00268
2019,111,G_5.7.102,1,R1,38.888888888888886,21,0
2019,111,G_5.7.102,1,R2,30.000000000000004,21,4.2e-4
