season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_23,3,R2,1.4320987654320985,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.4378698224852073,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.537037037037037,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.3694267515923566,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.3375796178343948,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.3591549295774648,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.3803680981595092,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.4303797468354429,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.496969696969697,18,0.003410000000000002
2020,jardin,G_23,3,R2,1.4873417721518987,18,0.003410000000000002
2020,jardin,G_23,3,R3,1.396103896103896,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4680851063829787,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4492753623188408,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4671052631578947,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4099378881987576,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4022988505747127,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.4645161290322581,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.374233128834356,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.3952095808383234,17,0.0021199999999999995
2020,jardin,G_23,3,R3,1.3398692810457515,17,0.0021199999999999995
2020,jardin,G_AG.Isioum,1,R1,1.20863309352518,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.25,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.0901639344262295,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.2446043165467626,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.0701754385964912,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.0862068965517242,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.1883116883116884,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.2941176470588236,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.2682926829268293,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R1,1.0759493670886076,16,0.02633000000000001
2020,jardin,G_AG.Isioum,1,R2,1.1769911504424782,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.0650406504065042,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.3211009174311925,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.1982758620689655,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.0866141732283463,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.1239669421487604,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.1574074074074074,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.2049180327868851,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.1282051282051284,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R2,1.1015625,16,0.027549999999999998
2020,jardin,G_AG.Isioum,1,R3,1.2578125,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.129032258064516,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.181159420289855,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.2136752136752136,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.1515151515151514,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.2061068702290076,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.1203007518796992,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.0964912280701755,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.1323529411764706,16,0.031869999999999996
2020,jardin,G_AG.Isioum,1,R3,1.1896551724137931,16,0.031869999999999996
2020,jardin,G_Agourane,1,R1,1.0384615384615385,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0980392156862744,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0999999999999999,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0647058823529412,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.125,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.1455696202531644,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0896551724137933,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0927152317880795,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.0444444444444443,17,0.058589999999999996
2020,jardin,G_Agourane,1,R1,1.1250000000000002,17,0.058589999999999996
2020,jardin,G_Agourane,1,R2,1.1515151515151514,15,0.03828
