season,family,gid,plant,replicated,S_number
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,1.6
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,2.4
2020,jardin,G_Moscatel.Oeiras.Faux,1,R3,2.1
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,1.9
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,2.1
2020,jardin,G_Moscatel.Oeiras.Faux,2,R3,1.6
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,1.7
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,2.9
2020,jardin,G_Moscatel.Oeiras.Faux,3,R3,2.1
2020,jardin,G_Iniagrape.one,1,R1,0.3
2020,jardin,G_Iniagrape.one,1,R2,1.5
2020,jardin,G_Iniagrape.one,1,R3,1
2020,jardin,G_Iniagrape.one,2,R1,0.4
