season,family,gid,plant,replicated,B_width,soluble_solids,S_dry
2020,jardin,G_AK.ouziom,1,R1,2.11,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.85,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.83,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.93,20,0.05452
2020,jardin,G_AK.ouziom,1,R1,1.95,20,0.05452
2020,jardin,G_AK.ouziom,1,R2,1.88,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.82,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.9,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.75,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.8,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,2.01,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.91,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.77,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.98,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R2,1.94,19,0.049819999999999996
2020,jardin,G_AK.ouziom,1,R3,2.02,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,2.03,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.85,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.84,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,2.34,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.92,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.98,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.8,18,0.060809999999999996
2020,jardin,G_AK.ouziom,1,R3,1.93,18,0.060809999999999996
2020,jardin,G_AK.ouziom,2,R1,1.82,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.78,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.63,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.65,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.8,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.66,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.77,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.79,17,0.03901
2020,jardin,G_AK.ouziom,2,R2,2.02,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.95,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,2.12,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.74,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,2.05,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.84,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.8,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.87,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.91,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.67,18,0.06352
2020,jardin,G_AK.ouziom,2,R3,1.77,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.92,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.69,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.76,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.82,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.87,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.61,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.91,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.79,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,2.03,17,0.05836
2020,jardin,G_AK.ouziom,3,R1,1.78,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.61,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.7,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.77,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.57,20,0.04518
2020,jardin,G_AK.ouziom,3,R1,1.66,20,0.04518
