season,family,gid,plant,replicated,S_fresh
2020,jardin,G_Blush,1,R1,0.08587000000000002
2020,jardin,G_Blush,1,R2,0.05824
2020,jardin,G_Blush,1,R3,0.061470000000000004
2020,jardin,G_Blush,2,R1,0.05874
2020,jardin,G_Blush,2,R2,0.043320000000000004
2020,jardin,G_Blush,2,R3,0.05968
2020,jardin,G_Blush,3,R1,0.07352
2020,jardin,G_Blush,3,R2,0.056510000000000005
2020,jardin,G_Blush,3,R3,0.06058
2020,jardin,G_Medouar,1,R1,0.16732
2020,jardin,G_Medouar,1,R2,0.14365
2020,jardin,G_Medouar,1,R3,0.15919
2020,jardin,G_Medouar,2,R1,0.17709000000000003
2020,jardin,G_Medouar,2,R2,0.16945000000000002
2020,jardin,G_Medouar,2,R3,0.12858999999999998
2020,jardin,G_Medouar,3,R1,0.17087000000000002
2020,jardin,G_Medouar,3,R2,0.14687999999999998
2020,jardin,G_Medouar,3,R3,0.20192000000000002
2020,jardin,G_San.Francisco,1,R1,0.12557999999999997
2020,jardin,G_San.Francisco,1,R2,0.1506
2020,jardin,G_San.Francisco,1,R3,0.13936
2020,jardin,G_San.Francisco,2,R1,0.11920000000000001
2020,jardin,G_San.Francisco,2,R2,0.14859
2020,jardin,G_San.Francisco,2,R3,0.13776000000000002
2020,jardin,G_San.Francisco,3,R1,0.12825999999999999
2020,jardin,G_San.Francisco,3,R2,0.15816
2020,jardin,G_San.Francisco,3,R3,0.13172999999999999
2020,jardin,G_Italia.Pirovano,1,R1,0.18287
2020,jardin,G_Italia.Pirovano,1,R2,0.25063
2020,jardin,G_Italia.Pirovano,1,R3,0.13903
2020,jardin,G_Italia.Pirovano,2,R1,0.16280999999999998
2020,jardin,G_Italia.Pirovano,2,R2,0.19003
2020,jardin,G_Italia.Pirovano,2,R3,0.17293000000000003
2020,jardin,G_Arna.Guirna,1,R1,0.10041000000000003
2020,jardin,G_Arna.Guirna,1,R2,0.10563000000000003
2020,jardin,G_Arna.Guirna,1,R3,0.06835
