season,family,gid,plant,replicated,S_dry
2020,jardin,G_Canner,3,R3,9.699999999999986e-4
2020,jardin,G_July.Muscat,1,R1,0.10649
2020,jardin,G_July.Muscat,1,R2,0.11209000000000002
2020,jardin,G_July.Muscat,1,R3,0.13072
2020,jardin,G_July.Muscat,2,R1,0.10293000000000001
2020,jardin,G_July.Muscat,2,R2,0.11305999999999998
2020,jardin,G_July.Muscat,2,R3,0.10568
2020,jardin,G_Ruby.Cabernet,1,R1,0.053180000000000005
2020,jardin,G_Ruby.Cabernet,1,R2,0.0648
2020,jardin,G_Ruby.Cabernet,1,R3,0.05011000000000001
2020,jardin,G_Ruby.Cabernet,2,R1,0.05358
2020,jardin,G_Ruby.Cabernet,2,R2,0.044320000000000005
2020,jardin,G_Ruby.Cabernet,2,R3,0.049069999999999996
2020,jardin,G_Ruby.Cabernet,3,R1,0.05908
2020,jardin,G_Ruby.Cabernet,3,R2,0.06504
2020,jardin,G_Ruby.Cabernet,3,R3,0.050129999999999994
2020,jardin,G_Portugais.Bleu,1,R1,0.05034000000000001
2020,jardin,G_Portugais.Bleu,1,R2,0.06172999999999999
2020,jardin,G_Portugais.Bleu,1,R3,0.06805000000000001
2020,jardin,G_Portugais.Bleu,2,R1,0.055810000000000005
2020,jardin,G_Magdalena,1,R1,0.03402
2020,jardin,G_Magdalena,1,R2,0.03836
2020,jardin,G_Magdalena,1,R3,0.040569999999999995
2020,jardin,G_Magdalena,2,R1,0.07223
2020,jardin,G_Magdalena,2,R2,0.05527
2020,jardin,G_Magdalena,2,R3,0.053790000000000004
2020,jardin,G_Magdalena,3,R1,0.05106999999999999
2020,jardin,G_Magdalena,3,R2,0.04006
2020,jardin,G_Magdalena,3,R3,0.0536
2020,jardin,G_Black,1,R1,0.008600000000000002
2020,jardin,G_Black,1,R2,0.012
2020,jardin,G_Black,1,R3,0.0061699999999999975
2020,jardin,G_Flame,1,R1,0.00716
2020,jardin,G_Flame,1,R2,0.006420000000000004
2020,jardin,G_Flame,1,R3,0.014419999999999999
2020,jardin,G_Flame,2,R1,0.010150000000000003
2020,jardin,G_Flame,2,R2,0.0087
2020,jardin,G_Flame,2,R3,0.007300000000000001
2020,jardin,G_Flame,3,R1,0.0113
2020,jardin,G_Flame,3,R2,0.007250000000000001
2020,jardin,G_Flame,3,R3,0.005980000000000002
2020,jardin,G_Cesar,1,R1,0.06399
2020,jardin,G_Cesar,1,R2,0.03617
2020,jardin,G_Cesar,1,R3,0.052180000000000004
2020,jardin,G_Cesar,2,R1,0.06478
2020,jardin,G_Cesar,2,R2,0.07647000000000001
2020,jardin,G_Cesar,2,R3,0.06442
2020,jardin,G_Cesar,3,R1,0.07407
2020,jardin,G_Cesar,3,R2,0.07949
2020,jardin,G_Cesar,3,R3,0.07387
2020,jardin,G_Chouchillon,1,R1,0.06818
2020,jardin,G_Chouchillon,1,R2,0.09363
2020,jardin,G_Chouchillon,1,R3,0.063
2020,jardin,G_Lameiro,1,R1,0.0625
2020,jardin,G_Lameiro,1,R2,0.045930000000000006
2020,jardin,G_Lameiro,1,R3,0.05068
2020,jardin,G_Lameiro,2,R1,0.052550000000000006
2020,jardin,G_Lameiro,2,R2,0.041139999999999996
2020,jardin,G_Lameiro,2,R3,0.04618
2020,jardin,G_Lameiro,3,R1,0.051090000000000003
2020,jardin,G_Lameiro,3,R2,0.047330000000000004
2020,jardin,G_Lameiro,3,R3,0.011030000000000002
2020,jardin,G_Verdot,1,R1,0.03703000000000001
2020,jardin,G_Verdot,1,R2,0.06417
2020,jardin,G_Verdot,1,R3,0.04919
2020,jardin,G_Verdot,2,R1,0.08596000000000001
2020,jardin,G_Verdot,2,R2,0.07162
2020,jardin,G_Verdot,2,R3,0.07903000000000002
2020,jardin,G_Verdot,3,R1,0.07963
2020,jardin,G_Verdot,3,R2,0.11613000000000002
2020,jardin,G_Verdot,3,R3,0.09491999999999999
2020,jardin,G_Kyoho,1,R1,0.16474000000000003
