season,family,gid,plant,replicated,P_cluster_loss,soluble_solids
2020,jardin,G_Pervenetz,1,R3,2.24828934506354,17
2020,jardin,G_Pervenetz,2,R1,2.71211744214979,19
2020,jardin,G_Pervenetz,2,R2,3.548225887056475,20
2020,jardin,G_Pervenetz,2,R3,3.4411915767847887,18
2020,jardin,G_Pervenetz,3,R1,3.865336658354124,16
2020,jardin,G_Pervenetz,3,R2,5.460750853242331,17
2020,jardin,G_Pervenetz,3,R3,4.193849021435227,17
2020,jardin,G_Cardinal,1,R1,3.036053130929801,18
2020,jardin,G_Cardinal,1,R2,3.129251700680271,17
2020,jardin,G_Cardinal,2,R1,2.290622763063695,17
2020,jardin,G_Cardinal,2,R2,2.629563441409232,15
2020,jardin,G_Cardinal,3,R1,2.1207177814029308,18
2020,jardin,G_Cardinal,3,R2,2.361460957178835,17
2020,jardin,G_Moscatel.Oeiras.Faux,1,R1,3.487429034874282,20
2020,jardin,G_Moscatel.Oeiras.Faux,1,R2,4.859685147159482,17
2020,jardin,G_Moscatel.Oeiras.Faux,2,R1,4.392764857881133,21
2020,jardin,G_Moscatel.Oeiras.Faux,2,R2,5.598958333333329,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R1,3.818953323903827,20
2020,jardin,G_Moscatel.Oeiras.Faux,3,R2,4.910714285714292,16
2020,jardin,G_Monukka,1,R1,2.7570789865871745,16
2020,jardin,G_Monukka,1,R2,2.640704187783399,15
2020,jardin,G_Monukka,2,R1,2.604920405209839,16
2020,jardin,G_Monukka,2,R2,2.709359605911331,16
2020,jardin,G_Assyl.Kara,1,R1,2.8314028314028405,16
2020,jardin,G_Assyl.Kara,2,R1,1.7179384738314099,14
2020,jardin,G_Assyl.Kara,2,R2,2.5309639203015593,13
2020,jardin,G_Assyl.Kara,3,R1,3.5438316013855626,11
2020,jardin,G_Assyl.Kara,3,R2,2.559358618563067,12
2020,jardin,G_Beauty,1,R1,1.9073569482288946,19
2020,jardin,G_Beauty,1,R2,1.4989293361884393,18
2020,jardin,G_Beauty,2,R1,2.551233793391887,19
2020,jardin,G_Beauty,2,R2,3.025064822817626,20
2020,jardin,G_Beauty,2,R3,3.3039647577092524,19
2020,jardin,G_Beauty,3,R1,3.307888040712456,21
2020,jardin,G_Beauty,3,R2,2.2293849046467926,24
2020,jardin,G_Beauty,3,R3,3.76018932421772,20
2020,jardin,G_Iniagrape.one,2,R1,1.374927787406122,20
2020,jardin,G_Iniagrape.one,2,R2,2.494061757719706,20
2020,jardin,G_Iniagrape.one,2,R3,2.6437290493959864,19
2020,jardin,G_Duc.Magenta,2,R1,1.2354651162790589,11
2020,jardin,G_Duc.Magenta,2,R2,2.1094640820980715,12
2020,jardin,G_Duc.Magenta,2,R3,2.2769690182904014,10
2020,jardin,G_Iniagrape.one,3,R1,3.051364638074247,16
2020,jardin,G_Iniagrape.one,3,R2,2.33475830318973,15
2020,jardin,G_Iniagrape.one,3,R3,1.9490511198495426,15
